;mess_datum;stations_id;r1;longitude;latitude
1465;2017-06-16 01:00:00;216;0.0;7.8807;51.1143
1466;2017-06-16 02:00:00;216;0.0;7.8807;51.1143
1467;2017-06-16 03:00:00;216;0.0;7.8807;51.1143
1468;2017-06-16 04:00:00;216;0.0;7.8807;51.1143
1469;2017-06-16 05:00:00;216;0.0;7.8807;51.1143
1470;2017-06-16 06:00:00;216;0.0;7.8807;51.1143
1471;2017-06-16 07:00:00;216;0.0;7.8807;51.1143
1472;2017-06-16 08:00:00;216;0.0;7.8807;51.1143
1473;2017-06-16 09:00:00;216;0.0;7.8807;51.1143
1474;2017-06-16 10:00:00;216;0.0;7.8807;51.1143
1475;2017-06-16 11:00:00;216;0.0;7.8807;51.1143
1476;2017-06-16 12:00:00;216;0.0;7.8807;51.1143
1477;2017-06-16 13:00:00;216;0.0;7.8807;51.1143
1478;2017-06-16 14:00:00;216;0.0;7.8807;51.1143
1479;2017-06-16 15:00:00;216;0.0;7.8807;51.1143
1480;2017-06-16 16:00:00;216;0.0;7.8807;51.1143
1481;2017-06-16 17:00:00;216;0.0;7.8807;51.1143
1482;2017-06-16 18:00:00;216;0.0;7.8807;51.1143
1483;2017-06-16 19:00:00;216;0.0;7.8807;51.1143
1484;2017-06-16 20:00:00;216;0.0;7.8807;51.1143
1485;2017-06-16 21:00:00;216;0.0;7.8807;51.1143
1486;2017-06-16 22:00:00;216;0.0;7.8807;51.1143
1487;2017-06-16 23:00:00;216;0.0;7.8807;51.1143
1488;2017-06-17 00:00:00;216;0.0;7.8807;51.1143
1489;2017-06-17 01:00:00;216;0.0;7.8807;51.1143
1490;2017-06-17 02:00:00;216;0.0;7.8807;51.1143
1491;2017-06-17 03:00:00;216;0.0;7.8807;51.1143
1492;2017-06-17 04:00:00;216;0.0;7.8807;51.1143
1493;2017-06-17 05:00:00;216;0.0;7.8807;51.1143
1494;2017-06-17 06:00:00;216;0.0;7.8807;51.1143
1495;2017-06-17 07:00:00;216;0.0;7.8807;51.1143
1496;2017-06-17 08:00:00;216;0.0;7.8807;51.1143
1497;2017-06-17 09:00:00;216;0.0;7.8807;51.1143
1498;2017-06-17 10:00:00;216;0.0;7.8807;51.1143
1499;2017-06-17 11:00:00;216;0.0;7.8807;51.1143
1500;2017-06-17 12:00:00;216;0.0;7.8807;51.1143
1501;2017-06-17 13:00:00;216;0.0;7.8807;51.1143
1502;2017-06-17 14:00:00;216;0.0;7.8807;51.1143
1503;2017-06-17 15:00:00;216;0.0;7.8807;51.1143
1504;2017-06-17 16:00:00;216;0.0;7.8807;51.1143
1505;2017-06-17 17:00:00;216;0.0;7.8807;51.1143
1506;2017-06-17 18:00:00;216;0.0;7.8807;51.1143
1507;2017-06-17 19:00:00;216;0.0;7.8807;51.1143
1508;2017-06-17 20:00:00;216;0.0;7.8807;51.1143
1509;2017-06-17 21:00:00;216;0.0;7.8807;51.1143
1510;2017-06-17 22:00:00;216;0.0;7.8807;51.1143
1511;2017-06-17 23:00:00;216;0.0;7.8807;51.1143
1512;2017-06-18 00:00:00;216;0.0;7.8807;51.1143
1513;2017-06-18 01:00:00;216;0.0;7.8807;51.1143
1514;2017-06-18 02:00:00;216;0.0;7.8807;51.1143
1515;2017-06-18 03:00:00;216;0.0;7.8807;51.1143
1516;2017-06-18 04:00:00;216;0.0;7.8807;51.1143
1517;2017-06-18 05:00:00;216;0.0;7.8807;51.1143
1518;2017-06-18 06:00:00;216;0.0;7.8807;51.1143
1519;2017-06-18 07:00:00;216;0.0;7.8807;51.1143
1520;2017-06-18 08:00:00;216;0.0;7.8807;51.1143
1521;2017-06-18 09:00:00;216;0.0;7.8807;51.1143
1522;2017-06-18 10:00:00;216;0.0;7.8807;51.1143
1523;2017-06-18 11:00:00;216;0.0;7.8807;51.1143
1524;2017-06-18 12:00:00;216;0.0;7.8807;51.1143
1525;2017-06-18 13:00:00;216;0.0;7.8807;51.1143
1526;2017-06-18 14:00:00;216;0.0;7.8807;51.1143
1527;2017-06-18 15:00:00;216;0.0;7.8807;51.1143
1528;2017-06-18 16:00:00;216;0.0;7.8807;51.1143
1529;2017-06-18 17:00:00;216;0.0;7.8807;51.1143
1530;2017-06-18 18:00:00;216;0.0;7.8807;51.1143
1531;2017-06-18 19:00:00;216;0.0;7.8807;51.1143
1532;2017-06-18 20:00:00;216;0.0;7.8807;51.1143
1533;2017-06-18 21:00:00;216;0.0;7.8807;51.1143
1534;2017-06-18 22:00:00;216;0.0;7.8807;51.1143
1535;2017-06-18 23:00:00;216;0.0;7.8807;51.1143
1536;2017-06-19 00:00:00;216;0.0;7.8807;51.1143
1537;2017-06-19 01:00:00;216;0.0;7.8807;51.1143
1538;2017-06-19 02:00:00;216;0.0;7.8807;51.1143
1539;2017-06-19 03:00:00;216;0.0;7.8807;51.1143
1540;2017-06-19 04:00:00;216;0.0;7.8807;51.1143
1541;2017-06-19 05:00:00;216;0.0;7.8807;51.1143
1542;2017-06-19 06:00:00;216;0.0;7.8807;51.1143
1543;2017-06-19 07:00:00;216;0.0;7.8807;51.1143
1544;2017-06-19 08:00:00;216;0.0;7.8807;51.1143
1545;2017-06-19 09:00:00;216;0.0;7.8807;51.1143
1546;2017-06-19 10:00:00;216;0.0;7.8807;51.1143
1547;2017-06-19 11:00:00;216;0.0;7.8807;51.1143
1548;2017-06-19 12:00:00;216;0.0;7.8807;51.1143
1549;2017-06-19 13:00:00;216;0.0;7.8807;51.1143
1550;2017-06-19 14:00:00;216;0.0;7.8807;51.1143
